"New Contractor Licenses - File created: Nov 28, 2018 - 1618 Records"
"License No","Business Name","Doing Business As","Address","Address 2","City","State","Zip","Qualifying Party","Class","Class Detail","Issued Date","Expiration Date","Status"
"320677","Iceberg General Contracting LLC"," ","5715 S 58th Gln"," ","Laveen","AZ","85339","Marvin L Manley","KB-1","","2018-07-17","2020-07-31","Active"
"320678","Stapley Stone & Tile LLC"," ","6513 E Alder Ave"," ","Mesa","AZ","85206","Wayne Grant Stapley","CR-48","","2018-07-06","2020-07-31","Active"
"320679","Statewide Property Inspections Inc","M & M Renovations , M & M Renovations","18219 N 40th Pl Unit 3"," ","Phoenix","AZ","85032","Martin Eric Markzon","R-62","","2018-07-06","2020-07-31","Active"
"320680","Classy Closets Etc Inc"," Classy Closets","1251 S Nelson Dr Suite #5063"," ","Chandler","AZ","85226","William David Reay","CR-61","","2018-06-21","2020-06-30","Active"
"320681","Douglas Jon Wright"," Douglas Wright Electric","5364 Katherine St"," ","Simi Valley","CA","93063","Douglas Jon Wright","CR-11","","2018-07-06","2020-07-31","Active"
"320686","Howard Paul Treinen"," HT Contracting","8840 N 38th Dr"," ","Phoenix","AZ","85051","Howard Paul Treinen","R-62","","2018-07-06","2020-07-31","Active"
"320688","Paradine Services LLC"," ","PO Box 892"," ","Ehrenberg","AZ","85334","Douglas Robert Konkright","A","","2018-07-11","2020-07-31","Active"
"320689","Wogan Brothers inc"," ","PO Box 1751"," ","Flagstaff","AZ","86002","Aric Stephen Wogan","CR-61","","2018-07-27","2020-07-31","Active"
"320691","Venerational Equity LLC","Arizona Partition , Arizona Partition","21601 N 3rd Ave Ste A"," ","Phoenix","AZ","85027","Theodore Vernon Gladish","C-10","","2018-07-06","2020-07-31","Active"
"320693","Life Preserve Insulation LLC"," ","16589 W Saguaro Ln"," ","Surprise","AZ","85388","Francisco J Segura Delgado","CR-40","","2018-07-06","2020-07-31","Active"
"320695","Countertop Professionals LLC"," ","12407 W El Nido Ln"," ","Litchfield Park","AZ","85340","Valente Pedroza Banuelos","CR-60","","2018-06-27","2020-06-30","Active"
"320696","Wilshire Pacific Builders LLC"," ","2350 E Germann Rd Ste 31"," ","Chandler","AZ","85286","James Gordon Brundage","B-1","","2018-06-21","2020-06-30","Active"
"320697","Brilliant Led Sign LLC"," ","2702 N Ogden Rd Ste 108"," ","Mesa","AZ","85215","Frank Michael Quinn","C-38","","2018-06-29","2020-06-30","Active"
"320698","Frank Michael Quinn"," FMQ Development","2702 N Ogden Rd Ste 108"," ","Mesa","AZ","85206","Frank Michael Quinn","KB-2","","2018-06-28","2020-06-30","Active"
"320700","Clune Construction Company LP"," ","10 S Riverside Plz Ste 2200"," ","Chicago","IL","60606","Richard D Hall","B-1","","2018-07-06","2020-07-31","Active"
"320702","Astroturf Corporation"," ","2680 Abutment Rd"," ","Dalton","GA","30721","Joseph Gaeta","B-1","","2018-07-20","2020-07-31","Active"
"320705","D Arthur Brown Construction LLC"," ","2833 E Marco Polo Rd"," ","Phoenix","AZ","85050","Donald Arthur Brown","CR-61","","2018-07-09","2020-07-31","Active"
"320706","Townsend & Co LLC"," ","4201 E Vogel Ave"," ","Phoenix","AZ","85028","Timothy Ryan Townsend","B","","2018-07-09","2020-07-31","Active"
"320707","TKS Contracting LLC"," ","PO Box 1414"," ","Scottsdale","AZ","85252","Kyle Preston Phillips","CR-37","","2018-06-22","2020-06-30","Active"
"320710","BPH Construction LLP"," ","29064 N 69th Pl"," ","Scottsdale","AZ","85260","Brent Michael Hospelhorn","KB-1","","2018-07-05","2020-07-31","Active"
"320711","Park7 Development LLC"," ","461 Park Ave S Fl 4"," ","New York","NY","10016","Jared Brandon Finkelstein","B-1","","2018-07-09","2020-07-31","Active"
"320713","Arizona Composite Metals LLC"," ","3164 S Country Club Dr Ste 11"," ","Mesa","AZ","85210","Michael Rogers Fox","CR-45","","2018-06-21","2020-06-30","Active"
"320714","DJ's Home Rescue LLC","DJ's Custom Remodel and Design , DJ's Custom Remodel and Design","27927 N 92nd Dr"," ","Peoria","AZ","85383","Denver Jay Yetter","B","","2018-07-09","2020-07-31","Active"
"320715","Saylor Select Cabinetry LLC"," ","4301 E Briarwood Ter"," ","Phoenix","AZ","85048","Melvin Eric Saylor","CR-60","","2018-07-09","2020-07-31","Active"
"320718","Floorrite Inc"," ","8116 E Vista Bonita Dr"," ","Scottsdale","AZ","85255","Dragoljub Mikalacki","CR-48","","2018-07-17","2020-07-31","Active"
"320719","Sequoia Homes LLC"," ","1820 E Tradition Ln"," ","Lake Havasu City","AZ","86404","Christopher James Henshaw","KB-2","","2018-06-21","2020-06-30","Active"
"320722","Rebecca Lynn Sobczak"," Ballard Dreamscapes","10555 E Kachina Pl"," ","Dewey","AZ","86327","Rebecca Lynn Sobczak","R-21","","2018-07-10","2020-07-31","Active"
"320723","Igneous Rocks Custom  LLC"," ","PO Box 3448"," ","San Luis","AZ","85349","Christian Edward Rodriguez","CR-60","","2018-07-27","2020-07-31","Active"
"320726","Global Data Services Inc"," ","16835 N Park Pl Ste 1"," ","Glendale","AZ","85306","Scott Michale Gazda","R-13","","2018-06-22","2020-06-30","Active"
"320728","Valley of the Sun Contractor LLC"," ","18610 N Iona Ct"," ","Sun City West","AZ","85375","Antonio Robles Wijangco","CR-8","","2018-07-19","2020-07-31","Active"
"320729","ALD-PHX LLC"," ","925 N Evergreen Ct"," ","Gilbert","AZ","85233","Randall Bruce Crum","CR-37","","2018-06-28","2020-06-30","Active"
"320730","REAB LLC","Bambe Construction , Bambe Construction","PO Box 370"," ","Mayer","AZ","86333","Robert Joseph Eustace","B-3","","2018-07-06","2020-07-31","Active"
"320731","SCE Inc"," ","215 Saint Marys Rd"," ","Labadie","MO","63055","Nicholas Ian Schultz","B-1","","2018-07-23","2020-07-31","Active"
"320733","Whelan Custom Homes LLC"," ","606 W Frontier St"," ","Payson","AZ","85541","Ryan Patrick Whelan","B","","2018-07-11","2020-07-31","Active"
"320735","Marcus Albert Mumm"," ","PO Box 2221"," ","Fond Du Lac","WI","54936","Marcus Albert Mumm","C-11","","2018-07-18","2020-07-31","Active"
"320737","Daniel Thomas Rowan"," DTR Remodeling","8801 N 17th Ln"," ","Phoenix","AZ","85021","Daniel Thomas Rowan","B","","2018-07-06","2020-07-31","Active"
"320738","AVTI LLC"," ","2804 E Gary Way"," ","Phoenix","AZ","85042","Marco Antonio Reguerin","CR-39","","2018-06-22","2020-06-30","Active"
"320739","Willis Painting LLC","Willis Painting , Willis Painting","PO Box 994"," ","Apache Junction","AZ","85117","Christopher Eugene Willis","CR-34","","2018-07-10","2020-07-31","Active"
"320740","Ideal Cleaning Systems LLC"," Ideal Construction and Restoration","3553 E Downing Cir"," ","Mesa","AZ","85213","Loren Lee Huish","KB-2","","2018-06-25","2020-06-30","Active"
"320741","AHH Services LLC"," ","1724 S 6th Ave"," ","Tucson","AZ","85713","Vianney Michael Saroni","CR-60","","2018-07-10","2020-07-31","Active"
"320742","Preferred Air LLC"," ","4616 W Olney Ave"," ","Laveen","AZ","85339","Craig Allen Gusse","C-39","","2018-06-22","2020-06-30","Active"
"320743","Molina's Construction LLC"," ","2423 E Cameron Vis"," ","Tucson","AZ","85713","Cesar A Molina Urias","KB-2","","2018-07-10","2020-07-31","Active"
"320744","Old Bisbee Enterprises LLC"," ","9423 E Cana St"," ","Hereford","AZ","85615","Tyler D Bradberry","KB-2","","2018-07-10","2020-07-31","Active"
"320745","Charles Stewart"," Charles Stewart Minor Home Improvements","1450 E Germann Rd #1020"," ","Chandler","AZ","85286","Charles Stewart","R-62","","2018-07-10","2020-07-31","Active"
"320748","Moonraker LLC"," ","6032 E Skinner Dr"," ","Cave Creek","AZ","85331","Daniel James Schmidt","KB-1","","2018-07-05","2020-07-31","Active"
"320754","James Edward Johnson"," JEJ Pools, JEJ Pools","317 W Echo Ln"," ","Phoenix","AZ","85021","James Edward Johnson","R-6","","2018-06-22","2020-06-30","Active"
"320757","Cobblestone Stucco LLC"," ","16413 N Cobblestone Ln"," ","Fountain Hills","AZ","85268","Joseph Claude Bernard","CR-36","","2018-06-26","2020-06-30","Active"
"320758","Warbird Electric LLC"," ","13835 N Tatum Blvd Ste 9-162"," ","Phoenix","AZ","85032","Aart Eldredge Vanvliet","CR-11","","2018-06-25","2020-06-30","Active"
"320759","Candor Contracting LLC"," ","1500 W H Bar Ranch Rd"," ","Payson","AZ","85541","Michael Wayne McDonald","KB-2","","2018-07-11","2020-07-31","Active"
"320760","MKJ Interior Solutions LLC"," ","8033 W Foothill Dr"," ","Peoria","AZ","85383","Paul Charles Ostwinkle","CR-60","","2018-06-25","2020-06-30","Active"
"320763","Desert Dog Contracting LLC"," ","1660 E Draper Cir"," ","Mesa","AZ","85203","Kendra Koa Walker","KB-2","","2018-06-22","2020-06-30","Active"
"320764","Barry Michael Powell-Jenkins"," Preferred Door Co.","6610 N 93rd Ave Apt 1053"," ","Glendale","AZ","85305","Barry Michael Powell-Jenkins","CR-60","","2018-06-25","2020-06-30","Active"
"320765","Carter Enterprises Construction Inc"," ","912 W 560 N"," ","Cedar City","UT","84721","Dustin Calvin Carter","KB-1","","2018-06-22","2020-06-30","Active"
"320767","James Christopher Myers"," James Christopher Enterprises","PO Box 40151"," ","Tucson","AZ","85717","James Christopher Myers","B","","2018-06-25","2020-06-30","Active"
"320768","Skyline Floor Covering LLC"," ","3711 E Milton Rd Unit 1"," ","Tucson","AZ","85706","Felix Rene Felix","CR-48","","2018-07-11","2020-07-31","Active"
"320769","Skyline Floor Covering LLC"," ","3711 E Milton Rd Unit 1"," ","Tucson","AZ","85706","Felix Rene Felix","CR-8","","2018-07-11","2020-07-31","Active"
"320770","Detail Construction & Design LLC"," ","1510 E Thunderhead Dr"," ","Tucson","AZ","85718","Brendan Dasan Nuriddin","KB-1","","2018-07-11","2020-07-31","Active"
"320771","District 66 Communications LLC"," ","2003 W Vineyard Rd"," ","Phoenix","AZ","85041","Craig Allen Hlebak","CR-67","","2018-07-11","2020-07-31","Active"
"320772","Builders Unlimited Constructors Inc"," ","4727 W Avenue L12"," ","Lancaster","CA","93536","Steven Clarence Wane","KB-2","","2018-07-11","2020-07-31","Active"
"320777","Arizona Wholesale Flooring LLC"," ","520 W Union Hills Dr Ste 101"," ","Phoenix","AZ","85017","Tara Rafi","CR-8","","2018-07-23","2020-07-31","Active"
"320780","Sunrise Plumbing Contractors LLC"," ","9011 W Calle Lejos"," ","Peoria","AZ","85383","Wayne Eric Smith","CR-37","","2018-07-13","2020-07-31","Active"
"320784","Wayne Louis Kadar"," ","38389 N Armadillo Dr"," ","San Tan Valley","AZ","85140","Wayne Louis Kadar","B","","2018-06-25","2020-06-30","Active"
"320785","Paint Alliance LLC"," ","PO Box 1222"," ","Peoria","AZ","85380","Vanessa Espinoza","CR-34","","2018-07-12","2020-07-31","Active"
"320786","All Spectrum Builders LLC"," ","6633 N 19th Dr"," ","Phoenix","AZ","85015","Gary Lynn Ratliff","CR-11","","2018-06-27","2020-06-30","Active"
"320787","Royal Design Flooring LLC"," ","5218 N 61st Dr"," ","Glendale","AZ","85301","Adriana L Mendez","CR-48","","2018-07-12","2020-07-31","Active"
"320788","Complete Quality Electric LLC"," ","16000 W Sherman St"," ","Goodyear","AZ","85338","Robert Hernandez","CR-11","","2018-06-27","2020-06-30","Active"
"320789","Ikes Construction LLC"," ","4440 N Irving St"," ","Kingman","AZ","86409","Isaac Anthony Eaton","B","","2018-07-18","2020-07-31","Active"
"320790","Wise Choice Professional Painting LLC"," ","8381 E Yavapai Rd"," ","Prescott Valley","AZ","86314","Zachary Joseph McClain","CR-34","","2018-08-08","2020-08-31","Active"
"320791","AZ-Abess Construction And Remodel LLC"," ","39825 N River Bend Rd"," ","Phoenix","AZ","85086","Alex James Abess","KB-2","","2018-07-31","2020-07-31","Active"
"320792","James Joseph Davis"," J F Installations","3816 W Lapenna Dr"," ","New River","AZ","85087","James Joseph Davis","CR-65","","2018-07-13","2020-07-31","Active"
"320796","La Flying Dacha LLC"," ","22489 N Celtic Ave"," ","Maricopa","AZ","85139","Chad Lee Molyneaux","CR-2","","2018-07-19","2020-07-31","Active"
"320798","Brownlee Companies LLC"," ","PO Box 1440"," ","Payson","AZ","85541","Levi Cooper Brownlee","R-2","","2018-07-05","2020-07-31","Active"
"320802","Jeremy O'Dell Hibbitts"," Hibbitts Painting","6822 S Evening Glow Pl"," ","Gold Canyon","AZ","85118","Jeremy O'Dell Hibbitts","CR-34","","2018-07-13","2020-07-31","Active"
"320803","Primecore Technologies LLC"," ","1640 N Sawyer"," ","Mesa","AZ","85207","Dustin Allen Spears","KA","","2018-07-05","2020-07-31","Active"
"320804","Kash Construction LLC"," ","799 E Teakwood Dr"," ","Chandler","AZ","85249","Darnell Minnieweather","KB-2","","2018-07-12","2020-07-31","Active"
"320805","Top Rated Plumbing LLC"," ","43489 W Cydnee Dr"," ","Maricopa","AZ","85138","Brandon Andrew Gray","R-37R","","2018-07-12","2020-07-31","Active"
"320811","Innovative Store Systems Inc"," ","1351 S Beach Blvd Ste L"," ","La Habra","CA","90631","Ronald Benudiz","C-60","","2018-07-12","2020-07-31","Active"
"320813","M L Warwick Inc"," ","2300 Bethelview Rd Ste 110"," ","Cumming","GA","30040","Jennifer Lynn Daniels","B-2","","2018-07-12","2020-07-31","Active"
"320815","W L N Construction LLC"," ","4653 Carmel Mountain Rd Ste 308-221"," ","San Diego","CA","92130","Bill Larkin Nugent","KB-2","","2018-07-30","2020-07-31","Active"
"320818","Twin Futures LLC"," ","3334 E San Carlos Pl"," ","Chandler","AZ","85249","Stacy Lee Groessl","R-2","","2018-06-27","2020-06-30","Active"
"320819","3 G Plumbing LLC"," ","1803 N Arrowhead Cir"," ","Chandler","AZ","85224","Steven Bruce Niemeyer","CR-37","","2018-07-18","2020-07-31","Active"
"320820","Desert Sky Innovations LLC"," ","12208 N 22nd Pl"," ","Phoenix","AZ","85022","Hector F Hernandez-Boon","B","","2018-07-13","2020-07-31","Active"
"320824","Lantern Group Contracting LLC"," ","24909 N 87th Way"," ","Scottsdale","AZ","85255","Matthew D Clark","B","","2018-06-25","2020-06-30","Active"
"320825","Russell Glen Ratliff"," Rising Sun Electric","5913 W Evans Dr"," ","Glendale","AZ","85306","Russell Glen Ratliff","CR-11","","2018-07-06","2020-07-31","Active"
"320826","Banks Mobile Blasting LLC"," ","7922 N Carolanne Dr"," ","Tucson","AZ","85741","Joseph Ren Banks","KB-2","","2018-07-02","2020-07-31","Active"
"320827","Fuller Dirt Worx LLC"," ","PO Box 50594"," ","Parks","AZ","86018","Stephen Lambert Fuller","A-5","","2018-07-12","2020-07-31","Active"
"320829","Give Back Painting LLC"," ","PO Box 10"," ","Lake Havasu City","AZ","86405","Randy Wayne Frederick","CR-34","","2018-07-27","2020-07-31","Active"
"320830","Rocket Aire LLC"," ","12731 W Larkspur Rd"," ","El Mirage","AZ","85335","Richard Sydney Goff","CR-39","","2018-06-28","2020-06-30","Active"
"320831","Acosta's Pool & Spa's LLC"," ","983 W Saguaro Ln"," ","San Tan Valley","AZ","85143","Peter Allister Cogan","B-5","","2018-06-25","2020-06-30","Active"
"320833","Jollywood Construction LLC"," ","5726 W Park View Ln"," ","Glendale","AZ","85310","Thomas Walter Jolly","B","","2018-07-17","2020-07-31","Active"
"320834","ALR Construction Management LLC"," ","2333 E Southern Ave Unit 2069"," ","Tempe","AZ","85282","Chelcey B Smith Jr","KB-1","","2018-07-16","2020-07-31","Active"
"320835","Badraun Builders Inc"," ","2 McLaren Ste G"," ","Irvine","CA","92618","Ronald Robert Badraun","KB-1","","2018-06-29","2020-06-30","Active"
"320836","Brass Tacks Builders LLC"," ","45355 N US Hwy 60"," ","Morristown","AZ","85342","Jacob Thomas Moder","KB-2","","2018-07-23","2020-07-31","Active"
"320842","Town & Country Development Inc"," ","PO Box 16291"," ","Carefree","AZ","85377","Jon Maurice Huston","B","","2018-06-28","2020-06-30","Active"
"320843","Pipeline Video Inspection LLC"," AIMS Companies, AIMS Companies","9304 E Verde Grove Vw Ste 100"," ","Phoenix","AZ","85009","Steven Jacob Hudson","A","","2018-07-26","2020-07-31","Active"
"320844","Rhino Roofing LLC"," ","2862 E Fairfield St"," ","Mesa","AZ","85213","Ryan Dennis Arnett","CR-42","","2018-07-17","2020-07-31","Active"
"320845","Elidas Residential Contracting LLC"," ","41989 W Lunar St"," ","Maricopa","AZ","85138","Enrique Venegas Garcia","B","","2018-07-17","2020-07-31","Active"
"320848","Desert Star Plumbing LLC"," ","3900 N Stone Ave"," ","Tucson","AZ","85705","Ernest Joseph Gavel","CR-37","","2018-07-17","2020-07-31","Active"
"320850","Above All Construction LLC"," ","2186 E 15th Pl"," ","Yuma","AZ","85365","Torri Nicole Brown","KB-1","","2018-07-27","2020-07-31","Active"
"320853","Beck's Floor Installations LLC"," ","1414 N 61st Pl"," ","Mesa","AZ","85205","Dave Russell Beck","CR-8","","2018-07-02","2020-07-31","Active"
"320854","Azusa Construction LLC"," ","3150 N Bear Canyon Rd"," ","Tucson","AZ","85749","Charles Lawrence Willingham","CR-2","","2018-07-18","2020-07-31","Active"
"320860","Cablesouth Construction LLC"," ","1056 Jones Blvd"," ","Milan","TN","38358","Billy Joe VanCleave","C-11","","2018-07-23","2020-07-31","Active"
"320862","Drywall Only LLC"," ","28 W Juniper St #204"," ","Gilbert","AZ","85233","Travis Hyre","CR-61","","2018-06-29","2020-06-30","Active"
"320863","Hyre Construction LLC"," ","1713 W Chilton St"," ","Chandler","AZ","85224","Travis Hyre","CR-37","","2018-06-29","2020-06-30","Active"
"320864","Phoenician Plumbing LLC"," ","9007 W Malapai Dr"," ","Peoria","AZ","85345","Tyson Wade Mustain","CR-37","","2018-07-17","2020-07-31","Active"
"320865","Yates Well And Pump Service, LLC"," ","PO Box 43554"," ","Phoenix","AZ","85080","Dustin L Yates","CR-53","","2018-06-28","2020-06-30","Active"
"320866","Scoppa GMBH USA Inc"," ","1823 Cosner Rd"," ","Dover","DE","19904","Luisa Isabel Gomez","C-24","","2018-07-18","2020-07-31","Active"
"320867","Tactical Renovation Company LLC"," ","6292 S Topaz Pl"," ","Chandler","AZ","85249","Bradley Ryan Jackson","B-3","","2018-07-18","2020-07-31","Active"
"320870","Canyon Painting LLC"," ","PO Box 20524"," ","Sedona","AZ","86341","Paul Joel Morales","CR-34","","2018-07-17","2020-07-31","Active"
"320877","Southern Arizona General Contracting LLC"," ","3774 N Lost Chestnut Dr"," ","Tucson","AZ","85719","Hubert Wojnar","KB-2","","2018-07-17","2020-07-31","Active"
"320878","American Contractors Academy LLC"," ","1118 S Viejo Dr"," ","Cottonwood","AZ","86326","Andre Buschmann","CR-17","","2018-08-03","2020-08-31","Active"
"320879","MDCAZ LLC"," ","15397 Stony Creek Way Ste 104"," ","Noblesville","IN","46060","Steven J Schnadenberg","B-1","","2018-07-02","2020-07-31","Active"
"320886","Encore Services Arizona LLC"," ","20957 E Saddle Way"," ","Queen Creek","AZ","85142","Thomas Roger Morrison","CR-21","","2018-07-13","2020-07-31","Active"
"320889","World Carpet, Tile & Marble Inc"," ","8172 Miramar Rd"," ","San Diego","CA","92126","Michael Gonzalez","CR-8","","2018-08-01","2020-08-31","Active"
"320890","Cletus Robison Concrete LLC"," ","2060 Estrella Rd"," ","Prescott","AZ","86301","Cletus W Robison","R-2","","2018-06-29","2020-06-30","Active"
"320891","Sonora's A/C LLC"," ","7859 W Fleetwood Ln"," ","Glendale","AZ","85303","Luis H Murrieta Munoz","CR-39","","2018-07-19","2020-07-31","Active"
"320894","Magic Wand LLC","Magic Wand Renovations Company , Magic Wand Renovations Company","6225 N 21st Dr"," ","Phoenix","AZ","85021","Marcus Allen Cain","R-62","","2018-07-18","2020-07-31","Active"
"320895","Mill & Stone Co., LLC","Mill & Stone Company , Mill & Stone Company","24654 N Lake Pleasant PKWY, Suite 103-474"," ","Peoria","AZ","85383","William Chaz Solomon","KB-2","","2018-07-05","2020-07-31","Active"
"320897","C4 Investment Group, LLC","True Development , True Development","2514 E Mohawk Ln Ste 101"," ","Phoenix","AZ","85050","Michael Anthony Cordovana","KB-2","","2018-07-20","2020-07-31","Active"
"320898","AZRL Contracting LLC"," ","12405 W Pioneer St"," ","Avondale","AZ","85323","Roman Angel Lopez","CR-9","","2018-07-18","2020-07-31","Active"
"320903","Mears Group Inc"," ","1606 Eastport Plaza Dr Ste 110"," ","Rosebush","MI","48878","Richard Neil Smith","A","","2018-07-24","2020-07-31","Active"
"320904","RJ Plastering LLC"," ","2520 N Main St"," ","Flagstaff","AZ","86004","Jaime Herrera","CR-31","","2018-07-02","2020-07-31","Active"
"320905","All Care Coatings LLC"," ","PO Box 8182"," ","Mesa","AZ","85213","Terrance Michael Daun","CR-34","","2018-07-19","2020-07-31","Active"
"320906","Arizona Power and Solutions LLC"," ","204 N Roosevelt Ave"," ","Casa Grande","AZ","85122","James V Mejia","CR-11","","2018-07-02","2020-07-31","Active"
"320907","Fire Eagle Builders LLC"," ","13446 N 16th Pl"," ","Phoenix","AZ","85022","Ryan David Jacobson","KB-2","","2018-07-19","2020-07-31","Active"
"320908","Copper Ridge Builders Inc"," ","1329 Bayview Ct"," ","Bismarck","ND","58504","Alex Jordan Bunk","KB-2","","2018-07-23","2020-07-31","Active"
"320912","California Heartland LLC","Simply Natural Pools , Simply Natural Pools","950 W Fruit Tree Ln"," ","San Tan Valley","AZ","85143","Louis Edward Long","R-21","","2018-08-02","2020-08-31","Active"
"320914","Copper Valley Painting LLC"," ","21001 N Tatum Blvd Ste 1630-471"," ","Phoenix","AZ","85050","Hugh Williamson Ford","CR-34","","2018-07-02","2020-07-31","Active"
"320916","John Wayne Electric LLC"," ","3047 N Alvernon Rd"," ","Tucson","AZ","85712","Johnny W Wilson","CR-11","","2018-07-20","2020-07-31","Active"
"320917","Remodeling by Design LLC"," ","840 S Ciudad Cir"," ","Tucson","AZ","85710","Alfredo Castillo","CR-61","","2018-07-19","2020-07-31","Active"
"320918","Dennett Construction Inc"," ","1413 S Sandhill Dr"," ","Washington","UT","84780","Douglas Tyrone Dennett","KA","","2018-08-01","2020-08-31","Active"
"320921","Caleb Charles K Ferguson","Road Tech Paving , Road Tech Paving","3116 S Mill Ave Ste 103"," ","Tempe","AZ","85282","Caleb Charles K Ferguson","CR-69","","2018-07-19","2020-07-31","Active"
"320923","Ambition Air Conditioning LLC"," ","1072 W Wildhorse Dr"," ","Chandler","AZ","85286","Mouad Boumerzoug","CR-39","","2018-07-30","2020-07-31","Active"
"320924","T & S CONSTRUCTION, LLC"," ","18521 E Queen Creek Rd Bldg #105 Ste 501"," ","Queen Creek","AZ","85142","Paul Raymond Furgal","KB-2","","2018-07-20","2020-07-31","Active"
"320925","David Donnell Green"," David Green, David Green","PO Box 1394"," ","Mayer","AZ","86333","David Donnell Green","B","","2018-07-05","2020-07-31","Active"
"320926","Skill Center Workshops LLC"," ","PO Box 26302"," ","Prescott Valley","AZ","86312","William Ralph Brewster","CR-11","","2018-07-06","2020-07-31","Active"
"320927","SHERLOCK CUSTOM HOMES, LLC"," ","22849 N 19th Ave Ste 105"," ","Phoenix","AZ","85027","Miechelle Lynn Sherlock","B","","2018-07-02","2020-07-31","Active"
"320930","High Country Roofing LLC"," ","2931 W Aster Dr"," ","Phoenix","AZ","85029","Scott Anthony Ables","CR-42","","2018-07-06","2020-07-31","Active"
"320934","Building Zone Industries LLC"," ","HC 65 Box 340"," ","Cheyenne","WY","82001","Berklee Roy Holm","A-11","","2018-07-20","2020-07-31","Active"
"320937","A2Z Pool and Spa Tech LLC"," ","5405 N Parson Ranch Rd"," ","Flagstaff","AZ","86004","Shane Alan Hankins","KA-5","","2018-07-12","2020-07-31","Active"
"320939","Evolve Design Group Inc"," ","2801 E Hartford Ave"," ","Phoenix","AZ","85078","Francisco Amancio Perez Garcia","CR-21","","2018-07-26","2020-07-31","Active"
"320940","Square One Restoration LLC"," ","6730 E McDowell Rd Ste 129"," ","Scottsdale","AZ","85257","Ryan Christopher Dallas Riedy","B","","2018-07-05","2020-07-31","Active"
"320941","All-Star Patios, LLC"," ","10571 W Amelia Ave"," ","Avondale","AZ","85392","Hiram E Galindo Gonzalez","CR-3","","2018-07-23","2020-07-31","Active"
"320942","SDC Roofing LLC"," ","2303 N 44th St Ste 14-1174"," ","Phoenix","AZ","85008","Sean Branden Parrish","CR-42","","2018-07-17","2020-07-31","Active"
"320943","Champion Remodeling LLC"," ","43813 N Ericson Ln"," ","New River","AZ","85087","Benjamin Carr","KB-2","","2018-07-05","2020-07-31","Active"
"320944","Southwest Custom Flooring LLC"," ","4375 N Katie Cir E"," ","Prescott Valley","AZ","86314","Jose Luis Manzo Castillo","CR-8","","2018-07-05","2020-07-31","Active"
"320946","Cyber Technology Group Inc"," ","16559 N 92nd St Ste 115"," ","Scottsdale","AZ","85260","Bradford Thomas Zoerb","CR-3","","2018-07-05","2020-07-31","Active"
"320947","Future Telecom LLC"," ","5601 W Mohave St"," ","Phoenix","AZ","85043","Derek Dion Reeve","A","","2018-07-31","2020-07-31","Active"
"320948","Dipaolo Construction LLC","Dipaolo Design & Construction , Dipaolo Design & Construction","1747 E Northern Ave Unit 265"," ","Phoenix","AZ","85020","Roberto Dipaolo","KB-2","","2018-07-26","2020-07-31","Active"
"320951","PGF Landscaping LLC"," ","20235 N Cave Creek Rd # 104-443"," ","Phoenix","AZ","85024","Rick K Ryan","CR-21","","2018-07-11","2020-07-31","Active"
"320952","Niles Industrial Coatings LLC"," ","201 S Alloy Dr Ste A"," ","Fenton","MI","48430","Charles David Gore","C-34","","2018-08-02","2020-08-31","Active"
"320955","HomeRun Electronics, Inc."," ","6380 Corporate Centre Cir Ste 155"," ","Mesa","AZ","85202","Michael Lynn Vann","CR-67","","2018-07-23","2020-07-31","Active"
"320957","DL Storm Enterprises, Inc."," ","40960 California Oaks Rd # 212"," ","Murrieta","CA","92562","Darryl Louis Storm","CR-34","","2018-07-27","2020-07-31","Active"
"320960","Upland Management LLC"," ","22710 N 39th Ter"," ","Phoenix","AZ","85050","Darin Michael Payne","B","","2018-07-11","2020-07-31","Active"
"320962","Greater Phoenix Home Improvement LLC"," ","15420 N 56th Ave"," ","Glendale","AZ","85306","Kenneth E Bellottie","CR-61","","2018-07-09","2020-07-31","Active"
"320963","P A S Construction LLC"," ","9750 E Lakeshore Dr Apt 1"," ","Prescott Valley","AZ","86314","Paul Alan Sprinkle","KB-2","","2018-07-10","2020-07-31","Active"
"320964","Miracle Home Improvement and Repair LLC"," ","8530 W Cordes Rd"," ","Tolleson","AZ","85353","Consuelo Herrera Rodriguez","CR-61","","2018-07-24","2020-07-31","Active"
"320965","Ricky Lee Garner"," Lee's Handyman, Lee's Tiles","8041 N 56th Dr"," ","Glendale","AZ","85302","Ricky Lee Garner","R-62","","2018-07-11","2020-07-31","Active"
"320966","Performance Plumbing Pros Inc"," ","7835 W Fleetwood Ln"," ","Glendale","AZ","85303","Dale Paul Eagy","CR-37","","2018-07-10","2020-07-31","Active"
"320967","Baca's Plumbing LLC"," ","8574 N 110th Dr"," ","Peoria","AZ","85345","Jacob James Baca","CR-37","","2018-07-06","2020-07-31","Active"
"320968","Cobra Rooter Service Inc","Cobra Rooter & Plumbing , Cobra Rooter & Plumbing","5515 E Cheryl Dr"," ","Paradise Valley","AZ","85253","Jerome David Weichmann","CR-37","","2018-07-24","2020-07-31","Active"
"320969","RKG Design Build LLC"," ","2920 E Camelback Rd Ste 250"," ","Phoenix","AZ","85016","Rod K Ghani","KB-1","","2018-07-26","2020-07-31","Active"
"320970","Villari's Carpets LLC"," ","13963 N 133rd Ln"," ","Surprise","AZ","85379","Anthony Joseph Villari","CR-8","","2018-07-09","2020-07-31","Active"
