"Current Active Residential Contractors - File created: Nov 28, 2018 - 8380 Records"
"License No","Business Name","Doing Business As","Address","Address 2","City","State","Zip","Qualifying Party","Class","Class Detail","Class Type","Issued Date","Expiration Date","Status"
"272118","AZ Concrete Works LLC"," ","13050 N 28th Pl"," ","Phoenix","AZ","85032","Michael Bernard Ciesla","B-3","B-3 General Remodeling and Repair Contractor","Residential","2011-04-18","2019-04-30","Current"
"314922","AZ Express Services LLC"," ","615 E Weber Dr Unit 1036"," ","Tempe","AZ","85281","Eldar Cohen","R-62","R-62 Minor Home Improvements","Residential","2017-08-03","2019-08-31","Current"
"140538","Az Firebird Contractors Inc"," ","1106 N Gilbert Rd Ste 2 PMB 127"," ","Mesa","AZ","85203","Dave Lee Johnson","B","B General Residential Contractor","Residential","1998-11-16","2020-11-30","Current"
"317869","AZ George Home Remodeling LLC"," ","4832 W Purdue Ave"," ","Glendale","AZ","85302","Tobias Cristian Termure","B-3","B-3 General Remodeling and Repair Contractor","Residential","2018-02-14","2020-02-29","Current"
"303540","AZ Home Therapy LLC"," ","15881 W Central St"," ","Surprise","AZ","85374","Robert Guy Leftwich","B","B General Residential Contractor","Residential","2016-02-25","2020-02-29","Current"
"170258","Az Inc","Sandcastle Pools , Sandcastle Pools","2647 Kiowa Blvd N Ste 102"," ","Lake Havasu City","AZ","86403","Gregory Bond Mac Clennen","B-5","B-5 General Swimming Pool Contractor","Residential","2001-11-25","2019-11-30","Current"
"320254","AZ Maximum Homes LLC"," ","2402 W Harrison St"," ","Chandler","AZ","85224","Jerry Lee Morrison","B","B General Residential Contractor","Residential","2018-05-21","2020-05-31","Current"
"305176","Az Pool Concepts LLC"," ","2556 E San Manuel Rd"," ","San Tan Valley","AZ","85143","Shawn Alton Walker","R-62","R-62 Minor Home Improvements","Residential","2016-05-05","2020-05-31","Current"
"229760","Az Pool Plumbing LLC"," ","22032 N 23rd Ave"," ","Phoenix","AZ","85027","James Andrew Wallace","B-5","B-5 General Swimming Pool Contractor","Residential","2007-02-18","2019-02-28","Current"
"289156","Az Pool Polishers LLC"," ","8648 W Quail Ave *attn: Benjamin Lundberg"," ","Peoria","AZ","85382","Benjamin Andrew Lundberg","R-6","R-6 Swimming Pool Service and Repair","Residential","2013-12-12","2019-12-31","Current"
"320555","AZ Premier Pools LLC"," ","7154 W Eugie Ave"," ","Peoria","AZ","85381","Jonathon Alan Stoner","R-6","R-6 Swimming Pool Service and Repair","Residential","2018-06-11","2020-06-30","Current"
"305952","AZ Restoration Services LLC"," ","PO Box 3415"," ","Scottsdale","AZ","85271","Christopher Lee Deschamps","B-3","B-3 General Remodeling and Repair Contractor","Residential","2016-06-13","2020-06-30","Current"
"283388","AZ Roofing Works LLC"," ","4025 E Presidio St"," ","Mesa","AZ","85215","Cecil Eugene Curtis","B","B General Residential Contractor","Residential","2013-03-01","2019-03-31","Current"
"320292","AZ Safeway Garage Doors LLC"," ","2414 S Manitoba Dr"," ","Santa Ana","CA","92704","Obeidallah Jamil Obeidallah","R-60","R-60 Finish Carpentry","Residential","2018-06-12","2020-06-30","Current"
"273040","AZ Solar Living LLC"," ","723 E University Dr"," ","Mesa","AZ","85203","Shane Matthew Hawkes","R-11","R-11 Electrical","Residential","2011-07-12","2019-07-31","Current"
"290647","Az Tech Builders Inc"," ","6541 S Keystone Ln"," ","Prescott","AZ","86303","Norman John Knoll","B","B General Residential Contractor","Residential","2014-04-02","2020-04-30","Current"
"182397","Az Tech Crete LLC"," ","21960 S 195th St"," ","Queen Creek","AZ","85142","William Lamar Van Camp Jr","B","B General Residential Contractor","Residential","2003-02-05","2020-02-29","Current"
"322135","AZ Water Systems LLC"," ","2048 S Agnes Ln"," ","Gilbert","AZ","85295","Larry Wade Melton Jr","R-62","R-62 Minor Home Improvements","Residential","2018-09-24","2020-09-30","Current"
"315108","AZ Wholesale Shower Enclosure LLC"," ","4223 S 37th St"," ","Phoenix","AZ","85040","Ryan Michael Bopp","R-62","R-62 Minor Home Improvements","Residential","2017-08-16","2019-08-31","Current"
"322695","Azcal Electric LLC"," ","1518 E Greentree Dr"," ","Tempe","AZ","85284","Michael David Edmonds","R-11","R-11 Electrical","Residential","2018-11-23","2020-11-30","Current"
"300250","Azoulay Builders LLC"," ","4408 N 12th St"," ","Phoenix","AZ","85014","Martin Henry Woodley","B","B General Residential Contractor","Residential","2015-07-10","2019-07-31","Current"
"320532","Aztec Floorworx LLC"," ","5043 W Sierra Vista Dr"," ","Glendale","AZ","85301","Alberto D Tapia","R-60","R-60 Finish Carpentry","Residential","2018-06-22","2020-06-30","Current"
"178614","Azteca Homes Of Scottsdale Inc"," ","19413 N 9th St"," ","Phoenix","AZ","85024","Kenneth Macejka","B","B General Residential Contractor","Residential","2002-09-24","2020-09-30","Current"
"152018","Azul Electric Inc"," ","8111 E Irwin Ave"," ","Mesa","AZ","85209","Jose P Ramirez","R-11","R-11 Electrical","Residential","2000-02-09","2020-02-29","Current"
"108046","Azul Verde Design Group Inc"," ","7020 E Bella Vista Dr"," ","Cave Creek","AZ","85331","Michael Fredric Rockwell","B-4","B-4 General Residential Engineering Contractor","Residential","1995-07-07","2019-06-30","Current"
"268449","Azulenergy Group LLC"," ","3225 N Colorado St"," ","Chandler","AZ","85225","Joseph Edward Messner","R-62","R-62 Minor Home Improvements","Residential","2010-10-02","2020-10-31","Current"
"232805","Azure Gallery LLC"," ","5271 N Spring Canyon Pl"," ","Tucson","AZ","85749","Michael Alan Rowland","B-5","B-5 General Swimming Pool Contractor","Residential","2007-07-10","2019-07-31","Current"
"078968","B & A Construction Inc","B and A Construction , B and A Construction","5226 W Monte Cristo Ave"," ","Glendale","AZ","85306","James Robert Bunch","B","B General Residential Contractor","Residential","1988-06-27","2020-05-31","Current"
"089957","B & D Air Conditioning Inc"," ","723 S 8th Ave"," ","Safford","AZ","85546","Boyce Ted Mc Bride","R-11","R-11 Electrical","Residential","1991-05-29","2019-04-30","Current"
"091442","B & D Air Conditioning Inc"," ","723 S 8th Ave"," ","Safford","AZ","85546","Boyce Ted Mc Bride","R-39R","R-39R Air Conditioning and Refrigeration","Residential","1991-10-23","2020-09-30","Current"
"287420","B & D Home Services LLC"," ","902 S Ashbrook"," ","Mesa","AZ","85204","David Lonny Cravens","B-3","B-3 General Remodeling and Repair Contractor","Residential","2013-09-20","2019-09-30","Current"
"111282","B & F Contracting Inc"," ","11011 N 23rd Ave"," ","Phoenix","AZ","85029","Bruce Wayne Balls","B-4","B-4 General Residential Engineering Contractor","Residential","1996-01-30","2019-12-31","Current"
"292114","B & G Contracting LLC"," ","1227 N Orlando Dr"," ","Coolidge","AZ","85128","Jose Manuel Garcia","B","B General Residential Contractor","Residential","2014-05-30","2020-05-31","Current"
"310101","B & H Pools & Excavating LLC","Leisure Pool Builders of Tucson , Leisure Pool Builders of Tucson","PO Box 746"," ","Oracle","AZ","85623","Lisa Michele Hairer","B-5","B-5 General Swimming Pool Contractor","Residential","2016-12-01","2018-12-31","Current"
"090802","B & L Pool Repair & Supply Inc"," ","16427 N Cave Creek Rd"," ","Phoenix","AZ","85032","Franklin Dale Howard Jr","B-6","B-6 General Swimming Pool Contractor, Including Solar","Residential","1991-08-22","2019-07-31","Current"
"288017","B & S Contracting LLC"," ","3100 Burro St"," ","Prescott","AZ","86305","Brian K Woolstenhulme","B","B General Residential Contractor","Residential","2013-10-11","2019-10-31","Current"
"213604","B 2 Builders LLC"," ","4413 E Desert Trumpet Rd"," ","Phoenix","AZ","85044","Glenn Paul Balliet","B","B General Residential Contractor","Residential","2005-11-10","2019-11-30","Current"
"247812","B A S Construction and Drywall LLC","R N Construction and Payne Concrete , R N Construction and Payne Concrete","2560 N Cobey Joe Trl"," ","Chino Valley","AZ","86323","Bradley Alan Schupbach","B","B General Residential Contractor","Residential","2008-08-02","2020-08-31","Current"
"117338","B A S S Electric Of Arizona Inc","Shocky Electric , Shocky Electric","2121 E Quince St"," ","Mesa","AZ","85213","Kirk Willi Schacherbauer","R-11","R-11 Electrical","Residential","1996-09-17","2020-08-31","Current"
"245301","B and F Remodeling LLC"," ","6152 W Potter Dr"," ","Glendale","AZ","85308","Kenneth Ronald Black","B-3","B-3 General Remodeling and Repair Contractor","Residential","2008-05-22","2020-05-31","Current"
"032428","B and H Refrigeration Company"," ","1410 S 2nd Ave"," ","Yuma","AZ","85364","Mark Edwin Beckett","R-39","R-39 Air Conditioning and Refrigeration, Including Solar","Residential","1970-07-03","2020-06-30","Current"
"032429","B and H Refrigeration Company"," ","1410 S 2nd Ave"," ","Yuma","AZ","85364","Mark Edwin Beckett","R-39R","R-39R Air Conditioning and Refrigeration","Residential","1970-07-03","2019-06-30","Current"
"274672","B and H Refrigeration Company"," ","1410 S 2nd Ave"," ","Yuma","AZ","85364","Mark Edwin Beckett","R-37R","R-37R Plumbing","Residential","2011-09-16","2019-09-30","Current"
"105179","B and J Refrigeration Inc"," ","422 S Olsen Ave"," ","Tucson","AZ","85719","John Howard Grinnell","R-39R","R-39R Air Conditioning and Refrigeration","Residential","1994-12-05","2020-11-30","Current"
"226671","B and L Construction and Electrical LLC"," ","Po Box 25188"," ","Prescott Valley","AZ","86312","William Lonie Lamb","B","B General Residential Contractor","Residential","2006-11-20","2018-11-30","Current"
"316163","B and L Construction and Electrical LLC"," ","Po Box 25188"," ","Prescott Valley","AZ","86312","William Lonie Lamb","R-11","R-11 Electrical","Residential","2017-11-09","2019-11-30","Current"
"202411","B B Bow Tie Builders LLC"," ","1448 W 2nd St"," ","Chandler","AZ","85224","Byron Burl Beckham Jr","B","B General Residential Contractor","Residential","2004-12-14","2018-12-31","Current"
"232629","B B C Buena Builders Construction Inc"," ","845 E 9th St"," ","Douglas","AZ","85607","Joseph Michael Ramirez","B","B General Residential Contractor","Residential","2007-06-01","2019-06-30","Current"
"174738","B C Builders Of Northern Arizona Inc"," ","7125 E Paseo Escondido"," ","Prescott Valley","AZ","86314","William Arthur Carney","B","B General Residential Contractor","Residential","2002-04-30","2020-04-30","Current"
"247739","B C Electric LLC"," ","23118 S 182nd St"," ","Gilbert","AZ","85298","William Tilford Cox","R-11","R-11 Electrical","Residential","2008-08-10","2020-08-31","Current"
"169894","B C K Custom Builders LLC"," ","5083 W Camino De Manana"," ","Tucson","AZ","85742","Robert Eugene Baughman","B","B General Residential Contractor","Residential","2002-01-10","2020-01-31","Current"
"226792","B C Plumbing LLC"," ","Po Box 60"," ","Gilbert","AZ","85299","Bert Willet Cornwell","R-37R","R-37R Plumbing","Residential","2006-11-21","2020-11-30","Current"
"237632","B C Renovations LLC"," ","2453 E Prescott Pl"," ","Chandler","AZ","85249","Brad Young Christensen","B","B General Residential Contractor","Residential","2007-09-14","2019-09-30","Current"
"058137","B C S Enterprises Inc"," ","1275 W Houston Ave"," ","Gilbert","AZ","85233","Timothy Jon Restad","R-2","R-2 Excavating, Grading and Oil Surfacing","Residential","1983-05-31","2020-04-30","Current"
"272388","B D T Builders LLC"," ","7410 E Pinnacle Peak Rd Ste 116"," ","Scottsdale","AZ","85255","Thomas Edward Fisher","B","B General Residential Contractor","Residential","2011-04-10","2019-04-30","Current"
"198722","B E C Contracting Inc"," ","37204 N 15th Ave"," ","Phoenix","AZ","85086","Brian Elliot Cadwallader","B","B General Residential Contractor","Residential","2004-08-09","2020-08-31","Current"
"097007","B E C Southwest Inc"," ","Po Box 30458"," ","Flagstaff","AZ","86003","Marcus Lynn Daniels","B","B General Residential Contractor","Residential","1993-04-14","2019-03-31","Current"
"099849","B H C Construction Inc"," ","1821 N Mandeville Ln"," ","Casa Grande","AZ","85122","Bradley Howard Clark","B","B General Residential Contractor","Residential","1993-11-08","2019-10-31","Current"
"062110","B J Drilling Company Inc"," ","PO Box 815"," ","Benson","AZ","85602","John Duane Cokely","R-53","R-53 Drilling","Residential","1985-02-07","2020-01-31","Current"
"102313","B J Walls Company Inc"," ","1052 Passiflora Ave"," ","Encinitas","CA","92024","John Charles Klasic","B","B General Residential Contractor","Residential","1994-05-16","2019-04-30","Current"
"289999","B K C Construction LLC"," ","5634 N 6th St Apt A"," ","Phoenix","AZ","85012","William Chaz Solomon","B","B General Residential Contractor","Residential","2014-03-05","2020-03-31","Current"
"165858","B Knudson General Contracting Inc"," ","19975 E Via Del Palo"," ","Queen Creek","AZ","85142","Boon Mee Knudson","B","B General Residential Contractor","Residential","2001-06-29","2019-06-30","Current"
"168310","B L B Home Remodelling LLC"," ","4860 Butterfly Dr"," ","Prescott","AZ","86301","William Alexander Brown","B-3","B-3 General Remodeling and Repair Contractor","Residential","2001-09-11","2019-09-30","Current"
"093447","B L S Construction Inc"," ","PO Box 17814"," ","Munds Park","AZ","86017","William Neal Stroup","B","B General Residential Contractor","Residential","1992-05-01","2020-04-30","Current"
"066481","B M C Electric Co Inc"," ","Po Box 47268"," ","Phoenix","AZ","85068","Alan Bandler","R-11","R-11 Electrical","Residential","1986-11-24","2019-10-31","Current"
"138245","B M Concrete Inc"," ","16387 W Woodlands Ave"," ","Goodyear","AZ","85338","Bobby Joe Monreal","R-9","R-9 Concrete","Residential","1998-08-22","2020-08-31","Current"
"257898","B N C Air Conditioning and Heating LLC"," ","3916 E Eugie Ave"," ","Phoenix","AZ","85032","William Charles Sundberg","R-39R","R-39R Air Conditioning and Refrigeration","Residential","2009-08-07","2019-08-31","Current"
"243108","B N T N Development LLC"," ","2920 E Mohawk Ln Ste 100"," ","Phoenix","AZ","85050","Brandon James Nunns","B","B General Residential Contractor","Residential","2008-03-07","2020-03-31","Current"
"053505","B R Constructors Inc"," ","Po Box 4170"," ","Huachuca City","AZ","85616","Edwin Leslie Robinson","B","B General Residential Contractor","Residential","1980-12-22","2019-11-30","Current"
"317475","B R D Builders LLC"," ","4102 E Catalina Dr"," ","Phoenix","AZ","85018","Paul Gregory Johnson","B","B General Residential Contractor","Residential","2018-01-23","2020-01-31","Current"
"243737","B S C Construction LLC"," ","1515 N Aaron"," ","Mesa","AZ","85207","Blake Spencer Clarkson","B","B General Residential Contractor","Residential","2008-04-02","2020-04-30","Current"
"173408","B S N Builders Inc"," ","PO Box 11025"," ","Prescott","AZ","86304","Brian Matthew Nelson","B","B General Residential Contractor","Residential","2002-04-12","2020-04-30","Current"
"145250","B T H Construction LLC"," ","3201 E Waverly St"," ","Tucson","AZ","85716","Benjamin Thomas Howayeck","B-3","B-3 General Remodeling and Repair Contractor","Residential","1999-06-07","2019-06-30","Current"
"190892","B T M Builders LLC"," ","7595 E Mcdonald Dr Ste 130"," ","Scottsdale","AZ","85250","Michael Larry Merriman","B","B General Residential Contractor","Residential","2003-11-20","2019-11-30","Current"
"050549","B W Rogers Electrical Contractor Ltd"," ","Po Box 3929"," ","Sedona","AZ","86340","Bruce Walter Rogers","R-11","R-11 Electrical","Residential","1979-09-10","2019-08-31","Current"
"084028","B Z's Excavating Inc"," ","PO Box 41967"," ","Phoenix","AZ","85080","Bruce Kevin Zeller","R-2","R-2 Excavating, Grading and Oil Surfacing","Residential","1989-09-06","2020-08-31","Current"
"244993","B's Contractors LLC"," ","1510 Louis Trl"," ","Prescott","AZ","86305","Ernest Edwin Bombardieri","B","B General Residential Contractor","Residential","2008-04-30","2020-04-30","Current"
"070323","Baardsen Krahn Enterprises Inc","Central Supply and Metal Co , Central Supply and Metal Co","1425 E Washington St Ste A"," ","Phoenix","AZ","85034","Christopher Erik Baardsen","R-39R","R-39R Air Conditioning and Refrigeration","Residential","1987-11-17","2020-10-31","Current"
"315679","Backroad Construction LLC"," ","1750 S Lee St"," ","Saint David","AZ","85630","Ryan Ellis Hatch","B","B General Residential Contractor","Residential","2017-09-05","2019-09-30","Current"
"204381","Backyard Boulders LLC"," ","Po Box 65198"," ","Tucson","AZ","85728","Robert Llewellyn Davies","B","B General Residential Contractor","Residential","2005-03-28","2019-03-31","Current"
"169161","Backyard Creations & More LLC","B Y C Contracting , B Y C Contracting","3601 W Altadena Ave"," ","Phoenix","AZ","85029","Thomas Jon Kuncis","B-3","B-3 General Remodeling and Repair Contractor","Residential","2001-11-07","2019-11-30","Current"
"245191","Backyard Solutions LLC"," ","19225 N 14th St"," ","Phoenix","AZ","85024","Nathan Fredricks Gelhaus","B-10","B-10 Pre-Manufactured Spas and Hot Tubs","Residential","2008-06-23","2020-06-30","Current"
"088328","Bada Construction Co"," ","3815 E Lincoln Dr"," ","Paradise Valley","AZ","85253","Michael George Bada","B","B General Residential Contractor","Residential","1990-11-23","2020-10-31","Current"
"185282","Badger Building and Remodeling Inc"," ","1042 N 110th St"," ","Mesa","AZ","85207","James Alan Arnoldussen","B","B General Residential Contractor","Residential","2003-05-13","2019-05-31","Current"
"154325","Badger Electric"," ","1025 N Neely St"," ","Gilbert","AZ","85233","Carlton Charles Becker","R-11","R-11 Electrical","Residential","2000-04-18","2020-04-30","Current"
"188183","Badger Mountain Woodworking Accessibility Renovation & Construction Corporation"," ","Po Box 268"," ","Red Valley","AZ","86544","James Gordon Rosser","B","B General Residential Contractor","Residential","2003-08-27","2019-08-31","Current"
"275109","Bailey Electric and Solar LLC"," ","23532 N 70th Ave"," ","Peoria","AZ","85383","Rex Burton Bailey","R-11","R-11 Electrical","Residential","2012-01-17","2020-01-31","Current"
"094729","Baird Builders Inc"," ","1600 N Tucson Blvd Ste 200"," ","Tucson","AZ","85716","Michael Steven Baird","B","B General Residential Contractor","Residential","1992-09-09","2019-08-31","Current"
"289350","Baja Mechanical LLC","Baja Plumbing , Baja Plumbing","7000 N 16th St Ste 120"," ","Phoenix","AZ","85020","Michael Ammirati","R-37R","R-37R Plumbing","Residential","2014-02-18","2020-02-29","Current"
"250932","Baker Design Group Inc"," ","515 E Carefree Hwy PMB 733"," ","Phoenix","AZ","85085","Steven Anthony Baker","B","B General Residential Contractor","Residential","2009-01-23","2019-01-31","Current"
"231388","Baker Heating and Cooling LLC"," ","17654 W Windrose Dr"," ","Surprise","AZ","85388","Kenneth Bradford Baker","R-39R","R-39R Air Conditioning and Refrigeration","Residential","2007-04-07","2019-04-30","Current"
"297182","Baker Pool Service & Repair LLC"," ","2455 E Tiffany Way"," ","Gilbert","AZ","85298","Dustin Christopher Baker","R-6","R-6 Swimming Pool Service and Repair","Residential","2015-03-30","2019-03-31","Current"
"254946","Baker West Inc (FN)"," ","900 N Garver Rd"," ","Monroe","OH","45050","Michael Joseph Schneider","R-9","R-9 Concrete","Residential","2009-04-28","2019-04-30","Current"
"036605","Baker's Mobile Aire Inc"," ","3149 E 47th St"," ","Tucson","AZ","85713","Jerry William Baker","R-39R","R-39R Air Conditioning and Refrigeration","Residential","1972-08-11","2019-07-31","Current"
"295783","Bakers Dozen Construction Inc"," ","1790 W Buena Vista Trl"," ","Prescott","AZ","86303","James Dean Baker","B","B General Residential Contractor","Residential","2014-12-11","2020-12-31","Current"
"258062","Baldwin Creative Customs LLC","Baldwin Creative Remodeling & Roofing , Baldwin Creative Remodeling & Roofing","24044 N 89th Ave"," ","Peoria","AZ","85383","Brian Gerald Baldwin","B-3","B-3 General Remodeling and Repair Contractor","Residential","2009-08-23","2019-08-31","Current"
"280279","Ballard Building and Development LLC"," ","420 S Barkley"," ","Mesa","AZ","85204","Aaron Fredrick Ballard","B","B General Residential Contractor","Residential","2012-08-15","2020-08-31","Current"
"293244","Ballard Custom Homes LLC"," ","PO Box 1189"," ","Cottonwood","AZ","86326","Carsie Zay Ballard III","B","B General Residential Contractor","Residential","2014-06-25","2020-06-30","Current"
"131226","Ballpark Electric Inc"," ","13302 W Coronado Rd"," ","Goodyear","AZ","85395","Jimmy Glen Parker","R-11","R-11 Electrical","Residential","1998-02-04","2020-02-29","Current"
"318756","Ballymalis Custom Work LLC","Mountain Earth Builders , Mountain Earth Builders","PO Box 204"," ","Eagar","AZ","85925","Ethan David Eagar","B","B General Residential Contractor","Residential","2018-03-27","2020-03-31","Current"
"318907","BAM Landscaping And Masonry LLC"," ","6002 S Fontana Ave Unit 50"," ","Tucson","AZ","85706","Anabel Elias","R-21","R-21 Hardscaping and Irrigation Systems","Residential","2018-04-03","2020-04-30","Current"
"310518","BAM Superior Solutions LLC"," ","6514 E Holly St"," ","Scottsdale","AZ","85257","James Brian Holt","B","B General Residential Contractor","Residential","2017-01-13","2019-01-31","Current"
"245934","Banner Products Inc"," ","109 E La Huerta"," ","Green Valley","AZ","85614","Wayne Robert Banasik","B-3","B-3 General Remodeling and Repair Contractor","Residential","2008-10-18","2020-10-31","Current"
"130998","Bar J Builders Inc"," ","Po Box 2382"," ","Sedona","AZ","86339","John Joseph Badiaco","B","B General Residential Contractor","Residential","1998-01-27","2020-01-31","Current"
"121062","Bar K Plumbing Inc"," ","PO Box 149"," ","Paulden","AZ","86334","Bruce Allan Kasemeier","R-37","R-37 Plumbing, Incuding Solar","Residential","1997-02-19","2019-01-31","Current"
"254977","Barbagallo Electric LLC"," ","16605 E Palisades Blvd Ste 110"," ","Fountain Hills","AZ","85268","Vincent Josep Barbagallo","R-11","R-11 Electrical","Residential","2009-05-06","2019-05-31","Current"
"150312","Barbara Ann Sheele","Sun Star Heating and Aire , Sun Star Heating and Aire","4701 E Crescent Ave"," ","Mesa","AZ","85206","Michael Ray Sheele","R-39R","R-39R Air Conditioning and Refrigeration","Residential","1999-11-12","2019-11-30","Current"
"309004","Barbara Jean Steinbrink","BJS Builders , BJS Builders","559 Kildare St"," ","Prescott","AZ","86305","Barbara Jean Steinbrink","B","B General Residential Contractor","Residential","2016-10-11","2020-10-31","Current"
"279111","Barber Plumbing LLC"," ","5462 Scotts Dr"," ","Lakeside","AZ","85929","David Allen Barber","R-37R","R-37R Plumbing","Residential","2012-07-05","2020-07-31","Current"
"192526","Barbie Drilling Inc"," ","PO Box 205"," ","Williams","AZ","86046","Ranger Casa Karr","R-53","R-53 Drilling","Residential","2004-01-26","2020-01-31","Current"
"240877","Barcelo Electric LLC"," ","6707 S Placita Segovia"," ","Tucson","AZ","85757","Pedro Barcelo","R-11","R-11 Electrical","Residential","2008-04-18","2020-04-30","Current"
"321401","Barcon Corporation"," ","PO Box 370"," ","Miami","AZ","85539","Fred Portillo Barcon","B","B General Residential Contractor","Residential","2018-08-22","2020-08-31","Current"
"245687","Barden Home Builders LLC"," ","PO Box 30905"," ","Flagstaff","AZ","86003","Aaron Llewellyn Richards","B","B General Residential Contractor","Residential","2008-06-02","2020-06-30","Current"
"272001","Barefoot Pools LLC"," ","16638 S 18th Way"," ","Phoenix","AZ","85048","Jose Manuel Garcia Diaz","R-6","R-6 Swimming Pool Service and Repair","Residential","2011-04-04","2019-03-31","Current"
"279449","Barnett Building LLC"," ","1936 N Circulo De La Cienega"," ","Tucson","AZ","85715","Tracy Marie Barnett","B","B General Residential Contractor","Residential","2012-06-15","2020-06-30","Current"
"285445","Barnett Woodworks & General Contracting LLC"," ","1662 W Calle Guadalajara"," ","Tucson","AZ","85713","Jack Eugene Barnett Jr","B","B General Residential Contractor","Residential","2013-06-03","2019-06-30","Current"
"259549","Barolo Group LLC","Vino Cantina , Vino Cantina","3104 E Camelback Rd #722"," ","Phoenix","AZ","85016","Thomas Scott Stephens","B","B General Residential Contractor","Residential","2009-10-05","2019-10-31","Current"
"308792","Baron Security Solutions, LLC","Baron Security Solutions , Baron Security Solutions","PO Box 22229"," ","Bullhead City","AZ","86439","Karen Elaine Renner","R-37","R-37 Plumbing, Incuding Solar","Residential","2016-11-28","2018-11-30","Current"
"147378","Barr Remodeling and Contracting Inc"," ","PO Box 1050"," ","Litchfield Park","AZ","85340","George Wayne Barr","B","B General Residential Contractor","Residential","1999-07-26","2019-07-31","Current"
"214018","Barrera Enterprises Inc","We Seal It , We Seal It","9393 N 90th St Ste 102"," ","Scottsdale","AZ","85258","William M Marhevka","B-3","B-3 General Remodeling and Repair Contractor","Residential","2005-11-24","2019-11-30","Current"
"293615","Barrett & Son's Inc"," ","Po Box 1081"," ","Clarkdale","AZ","86324","Leonard Ray Barrett","R-9","R-9 Concrete","Residential","2014-07-06","2020-07-31","Current"
"174461","Barrett Eastman LLC","Service One Home Warranties , Arizona Trademasters, Service One Home Warranties","9417 N 11th Ave"," ","Phoenix","AZ","85080","Thomas Lee Woods","R-39R","R-39R Air Conditioning and Refrigeration","Residential","2002-04-24","2020-04-30","Current"
"143486","Barry Hoff Contracting LLC"," ","Hc 1 Box 614"," ","Strawberry","AZ","85544","Barry Hoff","B","B General Residential Contractor","Residential","1999-03-17","2019-03-31","Current"
"216533","Barry Kevin Blyth","Blyth Construction , Blyth Construction","2465 W Pemberton Dr"," ","Prescott","AZ","86305","Barry Kevin Blyth","B","B General Residential Contractor","Residential","2006-01-29","2020-01-31","Current"
"103045","Barry Robert Sopher","Sopher Builders , Sopher Builders","11590 E Pantano Trl"," ","Tucson","AZ","85730","Barry Robert Sopher","B","B General Residential Contractor","Residential","1994-07-06","2020-06-30","Current"
"065400","Bart Dean Peterson","Bartco Const , Bartco Const","Po Box 4730"," ","Cave Creek","AZ","85327","Bart Dean Peterson","B","B General Residential Contractor","Residential","1986-06-23","2020-05-31","Current"
"117213","Bartholomew Builders Inc"," ","PO Box 3452"," ","Page","AZ","86040","Gary Brent Bartholomew","B","B General Residential Contractor","Residential","1996-09-19","2020-08-31","Current"
"264874","Barton Pure Pools LLC"," ","4327 W Michigan Ave"," ","Glendale","AZ","85308","Joseph Peter Barton","R-6","R-6 Swimming Pool Service and Repair","Residential","2010-07-19","2020-07-31","Current"
"255603","Baruc Construction LLC"," ","1830 W Whitton Ave"," ","Phoenix","AZ","85015","Victor Manuel Guzman Zujia","B-3","B-3 General Remodeling and Repair Contractor","Residential","2009-05-17","2019-05-31","Current"
"209068","Bassett Builders Inc"," ","4466 E Verde View Dr"," ","Cottonwood","AZ","86326","Daniel Charles Bassett","B","B General Residential Contractor","Residential","2005-06-24","2019-06-30","Current"
"318839","BASSPERFORMANCE LLC"," ","14127 W Calavar Rd"," ","Surprise","AZ","85379","John Adam Bass","B-3","B-3 General Remodeling and Repair Contractor","Residential","2018-04-02","2020-04-30","Current"
"150676","Bastian Construction Inc"," ","4138 E Edgewood Cir"," ","Mesa","AZ","85206","Kurt John Bastian","B","B General Residential Contractor","Residential","1999-12-06","2019-12-31","Current"
"302542","Basurto General Contractor Inc"," ","4715 W Northview Ave"," ","Glendale","AZ","85301","Adrian Barraza","B","B General Residential Contractor","Residential","2016-01-22","2020-01-31","Current"
"248750","BAT Investments LLC"," ","10111 N El Mirage Rd Ste 2"," ","El Mirage","AZ","85335","Bruce Donald Buttrum","B","B General Residential Contractor","Residential","2009-09-12","2019-09-30","Current"
"225393","Bates Builders Inc"," ","P O Box 4918"," ","Chino Valley","AZ","86323","Ronald Carl Bates","B","B General Residential Contractor","Residential","2006-10-17","2019-10-31","Current"
"109056","Bates Paving and Sealing Inc"," ","3225 E 44th St"," ","Tucson","AZ","85713","Robert Smith Bates Jr","R-13","R-13 Asphalt Paving","Residential","1995-08-21","2019-07-31","Current"
"120872","Bauer Homes Ltd"," ","4540 N Homestead Ave"," ","Tucson","AZ","85749","Bradley Alan Bauer","B","B General Residential Contractor","Residential","1997-04-02","2019-04-30","Current"
"310484","Bay Pools and Spas LLC"," ","765 Oconowoc Dr"," ","Lake Havasu City","AZ","86406","Steven Alexander Reid Jr","B-5","B-5 General Swimming Pool Contractor","Residential","2016-12-27","2018-12-31","Current"
"268131","Bayer Industries Inc","P A Bayer Construction , P A Bayer Construction","10685 E Valley View Dr"," ","Gold Canyon","AZ","85118","Peter Andrew Bayer","B","B General Residential Contractor","Residential","2010-09-17","2020-09-30","Current"
"210016","Baylin Builders Inc"," ","PO Box 27942"," ","Phoenix","AZ","85041","Kevin Charles Gue","B","B General Residential Contractor","Residential","2005-07-22","2019-07-31","Current"
